Time	Species_0	Species_1	Species_2
0.00000	644.65469	644.65469	644.65469
21.73913	644.65469	644.65469	644.65469
43.47826	644.65469	644.65469	644.65469
65.21739	644.65469	644.65469	644.65469
86.95652	644.65469	644.65469	644.65469
108.69565	644.65469	644.65469	644.65469
130.43478	644.65469	644.65469	644.65469
152.17391	644.65469	644.65469	644.65469
173.91304	644.65469	644.65469	644.65469
195.65217	644.65469	644.65469	644.65469
217.39130	644.65469	644.65469	644.65469
239.13043	644.65469	644.65469	644.65469
260.86957	644.65469	644.65469	644.65469
282.60870	644.65469	644.65469	644.65469
304.34783	644.65469	644.65469	644.65469
326.08696	644.65469	644.65469	644.65469
347.82609	644.65469	644.65469	644.65469
369.56522	644.65469	644.65469	644.65469
391.30435	644.65469	644.65469	644.65469
413.04348	644.65469	644.65469	644.65469
434.78261	644.65469	644.65469	644.65469
456.52174	644.65469	644.65469	644.65469
478.26087	644.65469	644.65469	644.65469
500.00000	644.65469	644.65469	644.65469
521.73913	644.65469	644.65469	644.65469
543.47826	644.65469	644.65469	644.65469
565.21739	644.65469	644.65469	644.65469
586.95652	644.65469	644.65469	644.65469
608.69565	644.65469	644.65469	644.65469
630.43478	644.65469	644.65469	644.65469
652.17391	644.65469	644.65469	644.65469
673.91304	644.65469	644.65469	644.65469
695.65217	644.65469	644.65469	644.65469
717.39130	644.65469	644.65469	644.65469
739.13043	644.65469	644.65469	644.65469
760.86957	644.65469	644.65469	644.65469
782.60870	644.65469	644.65469	644.65469
804.34783	644.65469	644.65469	644.65469
826.08696	644.65469	644.65469	644.65469
847.82609	644.65469	644.65469	644.65469
869.56522	644.65469	644.65469	644.65469
891.30435	644.65469	644.65469	644.65469
913.04348	644.65469	644.65469	644.65469
934.78261	644.65469	644.65469	644.65469
956.52174	644.65469	644.65469	644.65469
978.26087	644.65469	644.65469	644.65469
1000.00000	644.65469	644.65469	644.65469
